ACERTOS;MED_24_LC;MED_24_CH;MED_24_MT;MED_24_CN;MED_23_LC;MED_23_CH;MED_23_MT;MED_23_CN;MED_GERAL_LC;MED_GERAL_CH;MED_GERAL_MT;MED_GERAL_CN
45;795,8;819,7;961,9;867,2;820,8;823;958,6;868,4;808,3;821,35;960,25;867,8
44;754,5;798,34;937,95;867,2;782,6;792,31;958,6;845,56;768,55;795,325;948,275;856,38
43;729,4;774,34;917,14;842,38;758,1;763,84;946,65;826,35;743,75;769,09;931,895;834,365
42;710;755,19;897,86;817,22;736,8;740,81;928,37;805,64;723,4;748;913,115;811,43
41;692,4;736,91;881,97;796,62;720;722,02;908,6;791,02;706,2;729,465;895,285;793,82
40;677,7;721,76;868,26;776,12;704,6;705,1;891,12;778,65;691,15;713,43;879,69;777,385
39;664,9;707,6;854,21;764,96;690,4;689,76;874,02;767,9;677,65;698,68;864,115;766,43
38;653,4;694,12;841,71;750,35;677,1;676,74;859,19;757,53;665,25;685,43;850,45;753,94
37;643,3;682,23;830,64;739,67;664,5;664,32;845,17;748,47;653,9;673,275;837,905;744,07
36;633,7;671,07;819,59;728,2;652,9;653,22;831,92;739,2;643,3;662,145;825,755;733,7
35;624,9;660,58;809,19;718,48;642,1;642,73;819,41;731,39;633,5;651,655;814,3;724,935
34;616,6;650,69;799,65;708,77;631,8;633,1;808,13;722,86;624,2;641,895;803,89;715,815
33;608,8;641,18;790,23;699,82;622,2;624,15;796,95;714,98;615,5;632,665;793,59;707,4
32;601,2;632,04;780,53;691,07;613;615,51;785,65;707,63;607,1;623,775;783,09;699,35
31;593,9;623,41;771,64;681,99;604,2;607,58;775,13;700,53;599,05;615,495;773,385;691,26
30;586,7;614,93;762,71;673,7;595,6;599,57;764,95;693,47;591,15;607,25;763,83;683,585
29;579,8;606,84;753,47;665,3;587,2;591,87;754,86;686,35;583,5;599,355;754,165;675,825
28;572,9;598,77;744,48;656,99;579,2;584,34;744,92;679,03;576,05;591,555;744,7;668,01
27;566,1;590,94;735,56;648,76;571,1;576,8;735,06;672,38;568,6;583,87;735,31;660,57
26;559,4;583,29;726,6;640,97;563,1;569,32;725,13;665,25;561,25;576,305;725,865;653,11
25;552,7;575,49;717,33;632,54;555,2;561,72;715,08;657,95;553,95;568,605;716,205;645,245
24;545,9;567,72;708,09;624,02;547,3;554,12;704,67;649,93;546,6;560,92;706,38;636,975
23;539,1;559,85;698,41;615,89;539,4;546,06;693,73;642,15;539,25;552,955;696,07;629,02
22;532,2;551,56;688,27;607,02;531,3;537,88;682,31;633,57;531,75;544,72;685,29;620,295
21;524,9;543,11;678,27;598,02;523,1;529,29;670,45;624,64;524;536,2;674,36;611,33
20;517,5;534,2;667,12;588,74;514,5;520,18;657,06;613,96;516;527,19;662,09;601,35
19;509,8;524,74;655,37;578,51;505,6;510,44;642,62;602,75;507,7;517,59;648,995;590,63
18;501,4;514,44;641,11;567,81;496,4;500,16;626,22;589,88;498,9;507,3;633,665;578,845
17;492,6;503,25;624,91;555,67;486,5;488,92;608,07;575,42;489,55;496,085;616,49;565,545
16;483;490,79;605,59;542,21;476;477,15;588,09;559,85;479,5;483,97;596,84;551,03
15;472,3;477,25;583,37;526,94;464,7;464,32;565,61;542,83;468,5;470,785;574,49;534,885
14;460,8;463,06;559,07;510,23;453;450,5;541,78;525,63;456,9;456,78;550,425;517,93
13;448,4;447,87;534,08;493,15;440;436,23;516,88;508,07;444,2;442,05;525,48;500,61
12;434,7;432,56;509,7;475,56;427,1;421,42;492,43;490,37;430,9;426,99;501,065;482,965
11;421,1;416,92;487,58;458,62;413;406,72;469,25;473,57;417,05;411,82;478,415;466,095
10;407,2;401,85;468,64;442,49;399,1;392,61;447,5;457,07;403,15;397,23;458,07;449,78
9;394;386,91;451,53;427,63;384,9;378,33;428,02;441,49;389,45;382,62;439,775;434,56
8;381,1;373,17;437,21;414,03;370,9;365,9;410,24;426,58;376;369,535;423,725;420,305
7;368,7;359,71;424,87;401,65;357,9;353,76;395,55;413,09;363,3;356,735;410,21;407,37
6;357,6;347,38;414;390,67;344,9;343,06;382,12;399,93;351,25;345,22;398,06;395,3
5;346,6;334,86;404,6;380,58;332,9;333,04;370,21;387,73;339,75;333,95;387,405;384,155
4;337,3;324,65;396,4;371,05;322,2;324,36;359,36;375,46;329,75;324,505;377,88;373,255
3;327;313,36;389,05;362,91;315,4;316,04;350,65;362,61;321,2;314,7;369,85;362,76
2;317,9;303,72;381,78;355,24;304,3;310,43;342,95;351,51;311,1;307,075;362,365;353,375
1;309,2;292,87;376,21;348,27;295,5;301,22;335,15;337,6;302,35;297,045;355,68;342,935
0;300,4;283,8;370,98;342,1;287,6;293,5;328,2;323,3;294;288,65;349,59;332,7
